;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
3.13;PEKERJAAN BESI DAN ALUMINIUM;;;;;;;;;;;;;;
3.13.1;Pemasangan 1 m’ Shalimar Aluminium;;;;   Rp 88,800.00;   Catatan: ;;;;;;;;;
No;Uraian;Sat.;Koefisien;Harga  Satuan (Rp);Jumlah Harga (Rp);   Biaya Umum dan Keuntungan ;;;10%;;;;;;
A;TENAGA KERJA;;;;;;;;;;;;;;
1;Pekerja;OH;0.0430;100,000.00;4,300.00;;;;;;;;;;
2;Tukang alumunium;OH;0.0430;145,000.00;6,235.00;;;;;;;;;;
3;Kepala tukang;OH;0.0043;175,000.00;752.50;;;;;;;;;;
4;Mandor;OH;0.0014;200,000.00;280.00;;;;;;;;;;
JUMLAH HARGA TENAGA KERJA;;;;;11,567.50;;;;;;;;;;
B;BAHAN;;;;;;;;;;;;;;
1;Profil slimar aluminium;m';1.100;60,000.00;66,000.00;;;;;;;;;;
2;Skrup fixer;buah;2.000;1,600.00;3,200.00;;;;;;;;;;
JUMLAH HARGA BAHAN;;;;;69,200.00;;;;;;;;;;
C;PERALATAN;;;;;;;;;;;;;;
JUMLAH HARGA ALAT;;;;; - ;;;;;;;;;;
D;Jumlah (A+B+C);;;;80,767.50;;;;;;;;;;
E;Biaya Umum dan Keuntungan 10% - 15% x D;;;10%;8,076.75;;;;;;;;;;
F;Harga Satuan Pekerjaan (D+E);;;;88,844.25;;;;;;;;;;
;;;;;;;;;;;;;;;
3.13.2;Pemasangan 1 m2 profil jalusi aluminium;;;;   Rp 740,500.00;;;;;;;;;;
No;Uraian;Sat.;Koefisien;Harga  Satuan (Rp);Jumlah Harga (Rp);;;;;;;;;;
A;TENAGA KERJA;;;;;;;;;;;;;;
1;Pekerja;OH;0.0430;100,000.00;4,300.00;;;;;;;;;;
2;Tukang alumunium;OH;0.0430;145,000.00;6,235.00;;;;;;;;;;
3;Kepala tukang;OH;0.0043;175,000.00;752.50;;;;;;;;;;
4;Mandor;OH;0.0014;200,000.00;280.00;;;;;;;;;;
JUMLAH HARGA TENAGA KERJA;;;;;11,567.50;;;;;;;;;;
B;BAHAN;;;;;;;;;;;;;;
1;Jalusi aluminium;m2;1.100;600,000.00;660,000.00;;;;;;;;;;
2;Sealant;tube;0.050;33,100.00;1,655.00;;;;;;;;;;
JUMLAH HARGA BAHAN;;;;;661,655.00;;;;;;;;;;
C;PERALATAN;;;;;;;;;;;;;;
JUMLAH HARGA ALAT;;;;; - ;;;;;;;;;;
D;Jumlah (A+B+C);;;;673,222.50;;;;;;;;;;
E;Biaya Umum dan Keuntungan 10% - 15% x D;;;10%;67,322.25;;;;;;;;;;
F;Harga Satuan Pekerjaan (D+E);;;;740,544.75;;;;;;;;;;
;;;;;;;;;;;;;;;
3.13.3;Pengelasan 1 m’ dengan las listrik ;;;;   Rp 16,800.00;; Revisi ;Perubaha di koefisien Tenaga kerja dan penghapusan kepala tukang, koefisie baha dan juga peralatan;;;;;;;
No;Uraian;Sat.;Koefisien;Harga  Satuan (Rp);Jumlah Harga (Rp);;;;;;;;;;
A;TENAGA KERJA;;;;;;;0.0400;;;;;;;
1;Pekerja;OH;0.0164;100,000.00;1,640.00;;;0.0200;;;;;;;
