Kode;Komponen;Satuan;Harga_Dasar;Kategori
L.01;Pekerja;OH;126000;Upah
L.02;Tukang batu;OH;175000;Upah
L.02;Tukang kayu;OH;175000;Upah
L.02;Tukang besi;OH;175000;Upah
L.02;Tukang cat;OH;175000;Upah
L.02;Tukang pelitur;OH;175000;Upah
L.02;Tukang pipa;OH;175000;Upah
L.02;Tukang penganyam bronjong;OH;175000;Upah
L.02;Tukang tebas;OH;175000;Upah
L.02;Tukang las;OH;175000;Upah
L.02;Tukang las geotextile;OH;175000;Upah
L.02;Tukang listrik;OH;175000;Upah
L.02;Tukang alumunium;OH;175000;Upah
L.02;Tukang kaca;OH;175000;Upah
L.02;Tukang erection;OH;175000;Upah
L.02;Tukang tanam;OH;175000;Upah
;Tukang Tanam ;OH ;175000;Upah
;Kepala Tukang Tanam ;OH ;203000;Upah
;Tukang pemelihara taman;OH ;175000;Upah
;Tukang pemelihara taman (115% Pekerja);OH ;175000;Upah
;Tukang gali;OH;175000;Upah
;Tukang aspal;OH;175000;Upah
L.03;Kepala tukang;OH;203000;Upah
L.04;Mandor;OH;224000;Upah
L.05;Juru ukur;OH;403000;Upah
L.06;Pembantu juru ukur;OH;126000;Upah
L.07;Mekanik alat berat;OH;250000;Upah
L.08;Operator alat berat;OH;250000;Upah
L.09;Pembantu operator alat berat;OH;126000;Upah
L.10;Sopir;OH;250000;Upah
L.11;Kenek;OH;126000;Upah
;Administrasi bor;OH;126000;Upah
;Ahli geologist;OH;1061666.667;Upah
;Ahli topografi;OH;1061666.667;Upah
;Crew driller;OH;126000;Upah
;Driller;OH;250000;Upah
;Juru gambar;OH;448500;Upah
;Koordinator driller;OH;448500;Upah
;Operator pompa;OH;250000;Upah
;Pembantu driller;OH;126000;Upah
;Pembantu mekanik alat berat;OH;126000;Upah
;Supir kendaraan <  2 ton (termasuk sedan);OH;250000;Upah
L.14.b;Tenaga Terampil Operator ;OH ;250000;Upah
;Tenaga Ahli Muda ;OH ;801666.6667;Upah
;;;;
MATERIAL;;;;
MATERIAL  TANAH DAN  BATUAN;;;;
;Agregat kasar;m3;385000;Material
;Agregar Kasar ;kg ;226.4705882;Material
;Agg Pokok;m3;350000;Material
;Agg Pengunci;m3;360000;Material
;Agg Penutup;m3;370000;Material
;Bata merah;buah;650;Material
;Bata merah 5 x  11 x  22 cm (per m3);m3;590000;Material
;Bata ringan;m3;703500;Material
;Bata ringan t=10 cm;m3;685800;Material
;Bata ringan tebal 10 cm;buah;11000;Material
;Bata ringan tebal 20 cm;buah;20000;Material
;Bata ringan tebal 7,5 cm;buah;8500;Material
;Bata rooster;buah;15000;Material
;Bata Berongga Uk. 12x11x24 ;buah ;15000;Material
;Batu alam andesit  bakar;m²;179300;Material
;Batu alam andesit  non bakar;m²;177500;Material
;Batu belah (base camp - lokasi pekerjaan);m3;339861;Material
;Batu belah (quarry - base camp);m3;235000;Material
;Batu belah (quarry - lokasi pekerjaan);m3;286500;Material
;Pasangan batu ukuran 20/50 t=40cm;m3;286500;Material
;Fondasi pasangan batu;m3;286500;Material
;Batu belah (quarry);m3;127500;Material
;Batu candi;m²;152000;Material
;Batu kali (quarry - base camp);m3;187400;Material
;Batu kali (quarry);m3;142500;Material
;Batu Muka ukuran 12x18 cm;m2;97500;Material
;Batu ;m3;97500;Material
;Batu paras;m3;125000;Material
;Batu pecah;kg;210;Material
;Batu pecah 3/5;m3;363800;Material
;Batu pecah 5/7;m3;351800;Material
;Batu putih;m²;123000;Material
;Batu putih breksi;m²;117700;Material
;Batu sikat;kg;6000;Material
;Batu split 1/2;m3;450000;Material
;Batu split 2/3;m3;450000;Material
;Koral Beton;m3;352300;Material
;Batu tempel hitam;m3;121600;Material
;Fly ash;kg;600;Material
;HB-10;buah;12000;Material
;HB-15;buah;12000;Material
;HB-20;buah;13000;Material
;Kerikil;kg;210;Material
;Kerikil ;m3;352300;Material
;Koral bulat;m3;225000;Material
;Pasir Beton;kg;300;Material
;Pasir Beton;m3;370200;Material
;Pasir beton (Base camp - lokasi pekerjaan);m3;422600;Material
;Pasir beton (quarry - Base camp);m3;325200;Material
;Pasir beton (quarry - lokasi pekerjaan);m3;370200;Material
;Pasir beton (quarry);m3;170000;Material
;Pasir pasang;m3;200000;Material
;Pasir pasang (quarry - base camp);m3;200000;Material
;Pasir pasang (quarry - lokasi pekerjaan);m3;295000;Material
;Pasir pasang (quarry);m3;150000;Material
;Pasir urug (quarry - base camp);m3;165500;Material
;Pasir urug (quarry - lokasi pekerjaan);m3;254700;Material
;Pasir Urug (quarry);m3;120000;Material
;Urukan Pasir Uruk;m3;488180;Material
;Serbuk batu granit;kg;12000;Material
;Serbuk batu traso;kg;13000;Material
;Sirtu (base camp - lokasi pekerjaan);m3;288700;Material
;Sirtu (quarry - base camp);m3;184400;Material
;Sirtu (quarry - lokasi pekerjaan);m3;261800;Material
;Sirtu (quarry);m3;120000;Material
;Tanah biasa (quarry - lokasi pekerjaan);m3;146900;Material
;Tanah biasa (quarry);m3;44000;Material
;Tanah liat  (quarry);m3;64500;Material
;Tanah liat (quarry-lokasi pekerjaan);m3;160000;Material
;Tanah padas  (quarry - lokasi pekerjaan);m3;163600;Material
;Tanah padas  (quarry);m3;47500;Material
;Tanah Pilihan (quarry - lokasi pekerjaan);m3;146900;Material
;Tanah Pilihan (quarry);m3;48000;Material
;Tanah Subur;m3;165000;Material
MATERIAL KAYU DAN BAMBU;;;;Material
;Bambu cerucuk Ø 10 cm panjang 600 cm;batang;17800;Material
;Bambu cerucuk Ø 15 cm panjang 600 cm;batang;22600;Material
;Bambu Ø 10 cm panjang 600 cm;batang;14800;Material
;Bambu Ø 6 - 8 cm, pjg 6m;batang;12900;Material
;Bambu panjang 4,5 m;batang;14500;Material
;bambu panjang 2 meter;batang;7000;Material
;Anyaman Bambu ;lembar ;50000;Material
;Bilik bambu;m2;21000;Material
;Blockboard tebal 18 mm;m2;410600;Material
;Dolken kayu φ 8-10 panjang 400 cm;m';5000;Material
;Dolken kayu φ 8-10 panjang 400 cm;batang;20000;Material
;Kayu;m3;11950000;Material
;Kayu Balok Borneo;M3;2700000;Material
;Kayu balok 6/12 kelas I;m3;25000000;Material
;Kayu balok 6/12 kelas II;m3;11950000;Material
;Kayu balok kelas II ;M3;20000000;Material
;Kayu balok 6/15 kelas I;m3;25000000;Material
;Kayu balok 6/15 kelas II;m3;11950000;Material
;Kayu balok 6/15 kelas II (batang);batang;314000;Material
;Tiang kayu 8/12 kelas II tinggi 4m;m3;6500000;Material
;Tiang kayu 5/7 kelas II tinggi 3m;m3;6500000;Material
;Kaso 5/7;m3;6500000;Material
;Kaso 5/7 kayu kelas II;m3;6500000;Material
;Kayu kaso 5/7 kelas III;m3;3500000;Material
;Kayu Meranti (papan);m³;6966600;Material
;Papan Kayu ukuran 2/20 cm;m3;2500000;Material
;Papan Cor ;m3;2500000;Material
;Kayu papan 3/20 cm;m3;2825000;Material
;Kayu papan kelas I;m3;26000000;Material
;Kayu papan kelas II;m3;7500000;Material
;Kayu papan kelas III;m3;5000000;Material
;Kayu Papan tebal 9 mm;M3;4750000;Material
